RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8762,15738088,Parkin,634,Spain,Male,63,10,0,2,1,0,30772.86,1
2119,15774857,Synnot,460,France,Female,27,7,0,2,1,0,156150.08,1
3401,15750874,Onyemere,676,France,Male,31,3,78990.15,1,1,1,124777.14,0
4592,15762543,Goliwe,711,France,Female,32,1,0,2,1,0,126188.42,0
7011,15585892,Zakharov,639,France,Female,35,8,0,1,0,0,164453.98,0
5857,15750671,Egobudike,512,Spain,Male,31,6,0,2,1,0,168462.26,0
6952,15738889,Shih,658,France,Male,42,8,102870.93,1,0,1,103764.55,1
8782,15751628,Onyemachukwu,438,France,Male,60,7,78391.17,1,0,1,49424.6,0
1495,15808189,Woodard,56.125,France,Male,52,6,0,2,0,1,123622,0
3236,15612465,Siciliano,684,Spain,Male,34,9,100628,2,1,1,190263.78,0
4902,15575935,Baxter,673,France,Male,59,0,178058.06,2,0,1,21063.71,1
8999,15692577,Tomlinson,674,Germany,Female,38,10,83727.68,1,1,0,45418.12,0
5837,15617419,Roberts,618,Germany,Female,29,10,100315.1,2,1,1,32526.64,0
5607,15741988,Marino,492,Germany,Female,52,8,125396.24,1,1,0,10014.72,1
674,15745621,Wertheim,640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0
9547,15777033,Chizoba,524,France,Male,29,7,0,2,1,1,105448.74,0
7119,15661412,Wardell,715,France,Male,32,8,175307.32,1,1,0,187051.23,0
7193,15644400,Anderson,709,France,Male,44,9,128601.98,1,1,0,117031.2,0
1335,15664772,Greece,489,Germany,Male,28,1,79460.98,2,1,1,167973.63,0
9501,15645600,Obidimkpa,739,Spain,Female,27,8,98926.4,1,1,1,106969.98,0
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
7270,15675926,Ardis,655,Germany,Male,34,7,118028.35,1,1,0,51226.32,1
853,15677610,Chambers,511,Germany,Female,41,8,153895.65,1,1,1,39087.42,0
7764,15767064,Davide,614,Spain,Female,36,1,44054.84,1,1,1,73329.08,0
5678,15763414,Degtyarev,,Germany,Male,32,9,113447.01,1,1,0,82084.3,0
8415,15648367,Lo,600,Germany,Female,29,6,74430.1,2,1,1,96051.1,0
2890,15630402,Nebechukwu,594,France,Female,31,9,0,1,0,1,5719.11,0
1211,15658969,Gray,711,France,Male,51,7,0,3,1,0,38409.79,1
8655,15573730,Thompson,586,Germany,Male,42,6,126704.49,2,1,0,41682.3,0
1652,15585067,Wilson,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1
9857,15687329,Hope,763,Germany,Female,32,1,108465.65,2,1,0,60552.44,1
8979,15765857,Genovesi,,Spain,Male,41,2,142412.13,1,1,0,28778.98,0
1629,15810347,Todd,662,Spain,Female,30,9,0,2,0,1,157884.83,0
6249,15672185,Liu,590,France,Male,47,3,0,2,1,0,171774.5,0
7406,15704315,Teng,556,France,Male,34,8,163757.06,1,1,1,104000.06,0
4563,15795895,Yermakova,678,Germany,Male,36,1,117864.85,2,1,0,27619.06,0
8228,15702434,Hsieh,850,France,Female,30,3,0,2,1,0,116692.8,0
9773,15750549,Akobundu,660,Germany,Male,30,1,84440.1,2,1,1,60485.98,0
7073,15775750,Yao,686,France,Male,37,9,134560.62,1,1,0,27596.39,0
5412,15813640,Shih,642,France,Female,200,7,0,2,1,0,10712.82,0
5982,15801296,Farber,634,Germany,Female,37,7,143258.85,2,1,0,192721.98,0
7088,15615832,Teague,675,Spain,Female,35,8,155621.08,1,0,1,35177.31,0
1471,15762332,Ulyanova,568,Germany,Female,31,1,61592.14,2,1,1,61796.64,0
9025,15654772,Kwemto,640,France,Female,47,6,89799.46,2,0,1,13783.77,1
6937,15679928,Horsfall,592,France,Female,31,2,84102.11,2,0,1,116385.24,0
2385,15758531,Y?,732,France,Female,40,10,0,2,1,0,154189.08,0
277,15694456,Toscani,756,France,Male,,3,0,1,1,1,11199.04,1
7971,15577398,Ch'eng,850,France,Male,30,6,86449.39,1,1,1,188809.23,0
5843,15799128,Matthews,608,Spain,Female,38,9,102406.76,1,0,1,57600.66,0
2114,15686255,Mouzon,738,Germany,Male,35,6,101744.84,1,0,0,85185.44,0
9460,15640580,Obiora,650,France,Female,47,9,0,1,1,0,187943.6,0
2185,15689147,Ogochukwu,652,France,Female,40,1,0,2,1,0,126554.96,0
7884,15776051,Kao,551,France,Female,45,6,0,2,1,1,51143.43,0
4160,15732268,Cook,751,France,Male,29,3,159597.45,1,1,0,39934.41,0
1106,15624293,Mironova,514,France,Female,46,3,106511.85,1,1,0,55072.32,0
7041,15655658,Bulgakov,678,France,Female,48,2,0,2,1,1,32301.88,0
5506,15802466,Donaldson,534,France,Female,53,7,0,2,1,1,80619.17,0
3112,15657163,Cockrum,623,Germany,Male,42,1,149332.48,2,1,0,100834.22,0
523,15595766,Watts,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0
9304,15741403,Amechi,698,Spain,Female,38,1,171848.38,1,0,0,16957.45,0
621,15682585,Guerra,593,France,Male,35,9,114193.24,1,1,0,71154.1,0
3731,15689152,Loggia,683,Spain,Male,38,3,126152.84,1,0,0,15378.75,0
4598,15677105,Rossi,706,Germany,Female,46,4,105214.58,1,1,0,108699.59,1
3763,15643042,Han,590,Germany,Female,40,2,117641.43,2,0,0,92198.05,0
6837,15591344,Donnelly,715,Spain,Male,42,6,0,2,1,1,128745.69,0
2609,15733768,Hou,600,France,Male,32,1,0,1,1,1,101986.16,0
5984,15767891,Findlay,619,Germany,Female,28,6,99152.73,2,1,0,48475.12,0
4944,15615322,Jamieson,528,Spain,Male,43,7,97473.87,2,1,1,159823.16,0
8257,15768574,Anderson,671,Spain,Male,58,1,178713.98,1,1,1,21768.21,0
4738,15615140,Corson,791,France,Male,36,6,111168.97,1,1,1,189969.91,0
4263,15585222,Norman,515,France,Male,41,8,0,2,1,1,185054.14,0
8216,15743236,Piccio,687,France,Female,12.2,7,80538.56,1,1,0,131305.37,1
6830,15601351,Moroney,735,France,Male,43,9,127806.91,1,1,1,73069.59,0
6925,15799924,Sanchez,668,Spain,Male,43,1,147167.25,1,0,0,141679.73,0
7412,15698749,He,626,Germany,Female,23,6,85897.95,1,1,0,109742.8,0
2839,15646196,Yeh,850,Spain,Female,36,2,155180.56,2,0,0,169415.54,0
6809,15720134,Reynolds,709,Germany,Male,30,9,115479.48,2,1,1,134732.99,0
5958,15765532,Horton,612,Germany,Male,76,6,96166.88,1,1,1,191393.26,0
7295,15623668,Johnson,653,Germany,Male,31,2,154741.45,2,0,0,25183.01,0
5957,15594928,Pagnotto,798,Germany,Female,38,4,129055.13,1,1,0,157147.59,0
9677,15720924,Chijioke,585,France,Female,170,1,0,1,1,1,,0
9702,15636912,Sneddon,678,Spain,Male,38,3,124483.53,1,1,0,126253.31,0
2954,15649136,Williamson,650,France,Female,43,6,0,2,1,1,16301.91,0
5276,15579616,Goodwin,683,France,Female,42,8,0,2,0,1,198134.9,0
3761,15734970,White,835,Spain,Male,,7,86824.09,1,0,0,175905.97,0
5248,15584271,Donaldson,633,France,Male,59,5,0,1,1,1,137273.97,0
7829,15581286,Castro,734,France,Female,40,9,176914.8,1,1,1,12799.23,0
3925,15732334,Black,653,France,Female,40,0,0,2,1,0,35795.85,0
2794,15624793,Soubeiran,627,Germany,Male,23,5,184244.86,1,1,0,103099.22,0
6337,15781534,Rapuluolisa,536,Germany,Female,35,4,121520.36,1,0,0,77178.42,0
5599,15631871,Kelly,616,Germany,Female,285,7,116936.81,1,1,1,104379.36,0
6026,15709917,Ni,601,France,Female,46,3,98202.76,1,0,0,137763.93,0
8601,15755405,Hudson,88.75,France,Male,43,9,128284.45,1,1,0,32996.89,1
3718,15623536,Madukwe,646,Germany,Male,,0,154439.86,1,1,0,171519.06,0
8114,15752193,Burton,421,Spain,Male,34,6,90723.36,1,1,1,12162.76,0
2489,15571148,Baranov,645,Spain,Female,21,1,0,2,0,0,28726.07,0
392,15785611,Onyeoruru,752,Germany,Male,,3,183102.29,1,1,1,71557.12,0
8336,15737414,Shen,647,France,Male,35,4,123761.68,1,1,0,83910.4,0
2934,15713144,Ingrassia,588,Spain,Male,46,8,0,1,1,0,61931.21,0
410,15691625,Ko,537,Germany,Female,41,3,138306.34,1,1,0,106761.47,0
9911,15784042,L?,624,France,Male,55,7,118793.6,1,1,1,95022.02,1
5185,15677146,Obiajulu,728,France,Female,28,4,142243.54,2,1,0,33074.51,0
5825,15698953,Hart,636,Spain,Male,36,1,0,3,1,1,74048.1,1
3982,15575676,Chung,638,France,Male,24,1,0,2,0,1,1138180.05,0
3183,15638646,Lucchese,669,France,Female,43,1,160474.59,1,1,1,95963.14,0
9333,15638882,Cardell,710,Germany,Female,62,9,148214.36,1,1,0,48571.14,1
3080,15774727,Monaldo,757,Germany,Female,34,1,129398.01,2,0,0,44965.44,0
667,15725511,Wallace,559,France,Female,31,3,127070.73,1,0,1,160941.78,0
3123,15575002,Ferguson,676,France,Male,29,4,140720.93,1,1,0,36221.18,0
8935,15630641,Shao,846,France,Female,37,6,127103.97,1,1,1,41516.44,0
8391,15755521,Ma,660,France,Female,48,0,90044.32,2,0,1,187604.97,1
7213,15638989,Lettiere,711,France,Female,25,5,190066.54,1,0,0,51345.39,1
6254,15675337,Forbes,395,Germany,Female,34,5,106011.59,1,1,1,17376.57,1
541,15667896,De Luca,833,France,Male,185,8,151226.18,2,1,1,136129.49,0
1581,15793881,Mitchell,721,France,Female,35,6,118273.83,1,0,1,3086.89,0
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
7171,15621244,Gallo,678,France,Male,36,0,107379.68,1,1,1,84460.18,0
5725,15784286,Wood,641,Spain,Male,40,5,102145.13,1,1,1,100637.07,0
2382,15774151,Iadanza,614,Spain,Female,41,7,179915.85,1,0,0,14666.35,1
3047,15779862,Lyons,658,Germany,Female,31,3,133003.03,1,0,1,146339.27,1
3052,15619087,Taylor,762,France,Male,53,1,102520.37,1,1,1,170195.4,0
1135,15732660,Black,769,France,Female,27,2,0,1,1,1,57876.05,0
127,15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1
1445,15703019,Okeke,583,France,Female,38,10,0,2,0,1,113597.64,0
6383,15575060,Gardner,797,France,Male,24,5,0,2,1,0,182257.61,0
6439,15647974,Chiemenam,679,France,Female,44,3,118742.74,2,1,0,1568.91,0
4011,15685654,Allan,514,Spain,Male,66,9,0,2,1,1,14234.31,0
3793,15632859,Chukwudi,444,France,Male,36,7,0,2,0,1,138743.86,0
2766,15733876,Schneider,5336,France,Male,36,9,0,2,1,1,40062.29,0
7194,15797246,Terry,621,Germany,Female,34,2,91258.52,2,1,0,44857.4,0
2165,15794479,Becker,767,Spain,Male,77,8,149083.7,1,1,1,190146.83,0
1815,15613471,Wiley,579,Germany,Male,31,2,90547.48,2,1,1,18800.13,0
8748,15667216,Chung,579,France,Female,29,10,73194.52,2,1,1,129209.09,0
2532,15752300,Sagese,607,Germany,Male,47,4,148826.32,1,1,1,79450.61,0
2899,15624510,Tien,696,France,Male,52,6,139781.06,1,1,0,27445.4,1
5905,15664270,Balsillie,86.5,Germany,Male,45,6,142084.04,4,1,0,188305.85,1
9454,15769402,Carpenter,667,France,Male,27,7,156811.74,1,1,1,149402.59,0
9021,15807194,Iweobiegbulam,718,Spain,Male,34,5,113922.44,2,1,0,30772.22,0
9553,15772009,Scott,664,France,Female,41,5,0,1,1,1,152054.33,0
2404,15756901,Ch'ang,641,France,Female,26,4,91547.84,2,0,1,28157.34,0
8433,15582519,Seleznyov,479,France,Male,47,6,121797.09,1,0,1,5811.9,1
838,15589488,Ch'eng,686,Germany,Female,56,5,111642.08,1,1,1,80553.87,0
8610,15774258,Gorbunov,678,France,Male,40,1,0,2,1,1,187343.4,0
9581,15778838,Warren,783,France,Male,38,9,114135.17,1,1,0,,0
6839,15680804,Abbott,850,France,Male,29,6,0,2,1,1,10672.54,0
9816,15745431,Chinonyelum,604,France,Male,,7,0,2,1,1,188078.55,0
8909,15656522,Sutherland,593,Spain,Male,32,10,158537.42,1,1,0,166850.57,0
2714,15701318,Poole,95.375,Spain,Male,67,9,148564.66,1,0,1,87236.4,0
5665,15661723,Abramovich,667,Spain,Male,71,4,137260.78,1,0,1,94433.08,1
8879,15675794,Hsing,645,Germany,Male,47,9,152076.93,1,1,0,121840.2,1
1420,15705657,Hewitt,535,France,Female,44,2,114427.86,1,1,1,136330.26,0
2897,15606836,Lombardo,782,France,Female,33,2,94493.03,1,0,1,101866.39,0
1734,15752508,Docherty,614,Germany,Male,32,7,99462.8,2,1,1,51117.06,0
1303,15671097,Carter,428,France,Female,31,2,0,2,1,0,54487.43,0
4981,15740406,Padovesi,628,Germany,Male,38,10,113525.84,1,1,0,46044.48,1
8123,15603749,Galkina,564,France,Female,53,2,45472.28,1,1,1,41055.71,1
4062,15605333,Clancy,529,Spain,Male,31,6,0,1,1,0,10625.91,0
7185,15762799,Alexander,720,Germany,Male,23,0,187861.18,2,1,1,104120.17,0
9825,15658980,Matthews,711,Germany,Male,26,9,128793.63,1,1,0,19262.05,0
2717,15631170,Clements,695,France,Male,45,3,0,2,1,1,30793.61,0
2536,15578809,Hao,651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1
1400,15775546,Laurens,517,Spain,Female,29,5,0,2,1,0,103402.88,0
7617,15749964,Jones,610,France,Female,27,4,87262.4,2,1,0,182720.07,0
1203,15724334,Alekseyeva,529,France,Male,22,5,0,1,1,0,151169.83,0
8917,15665378,Shen,499,France,Female,46,6,0,2,1,0,73457.55,0
3286,15627220,Kang,735,Germany,Female,43,9,98807.45,1,0,0,184570.04,1
8146,15708904,Yermakova,850,France,Female,37,9,0,1,0,0,100101.06,0
8956,15641319,Afanasyeva,518,Spain,Male,50,4,0,1,0,0,107112.25,1
9158,15778915,Harris,737,France,Female,32,7,128551.36,2,0,1,189402.71,0
3391,15618213,Nnanna,674,France,Female,32,7,85757.93,1,1,1,95481,0
8453,15601410,Tien,744,Spain,Female,230,1,0,3,1,1,177431.59,1
5297,15702462,Fiorentini,619,Spain,Female,44,6,52831.13,1,1,1,112649.22,1
3053,15605327,Namatjira,607,France,Male,35,2,0,2,1,1,114190.3,0
748,15587535,Onyemauchechukwu,450,Spain,Female,46,5,177619.71,1,1,0,379589.42,0
4231,15566660,Cole,670,France,Female,41,10,0,3,1,0,81602.02,0
5319,15708046,Knowles,744,Spain,Male,31,0,117551.23,1,1,0,158958.9,0
1851,15587581,Russo,785,Germany,Female,33,5,136624.6,2,1,1,169117.74,0
7998,15601719,Fiorentino,465,Germany,Male,24,6,156007.09,1,1,0,191368.37,0
8527,15768945,Chibueze,627,France,Male,27,1,62092.9,1,1,1,105887.04,0
2288,15619889,Vasin,556,France,Male,26,4,0,1,1,0,195167.38,0
2548,15634772,Mario,682,Spain,Female,59,0,122661.39,1,0,1,84803.76,0
5841,15729574,Lu,616,Spain,Male,71,4,0,2,1,1,173599.38,0
6163,15627385,Uwaezuoke,748,France,Male,34,5,84009.47,1,1,1,137001.1,0
5247,15801863,Marino,521,France,Female,32,2,136555.01,2,1,1,,0
9945,15703923,Cameron,744,Germany,Male,41,7,190409.34,2,1,1,138361.48,0
3625,15596710,Ku,640,France,Female,33,1,167298.42,1,0,1,145381.65,0
1184,15600992,Madukaego,652,France,Male,36,1,0,2,1,1,151314.98,0
589,15614782,Hao,526,France,Male,36,1,0,1,1,0,160696.72,0
6951,15667392,L?,652,Spain,Female,38,6,123081.84,2,1,1,188657.97,0
9817,15649508,Chin,643,Spain,Male,48,8,0,2,1,0,174729.3,0
5094,15787255,Manfrin,650,Germany,Female,55,2,140891.46,3,1,1,179834.45,1
1917,15812198,Chen,543,Germany,Male,48,1,100900.5,1,0,0,33310.72,1
1494,15686963,Hardiman,680,Spain,Female,30,3,0,1,1,0,160131.58,0
5828,15801701,Robson,653,Spain,Male,35,9,0,2,1,1,45956.05,0
5604,15608408,Lazareva,598,Spain,Male,39,1,0,2,1,0,159130.32,0
7671,15711759,Wilkins,576,France,Female,29,5,108541.04,1,1,1,126469.09,0
583,15576352,Revell,586,Spain,Female,57,3,0,2,0,1,6057.81,0
7022,15694530,Porter,672,France,Male,28,4,167268.98,1,1,1,169469.3,0
4997,15620341,Nwebube,500,Germany,Male,44,9,160838.13,2,1,0,196261.64,0
5850,15608873,Smith,665,France,Male,51,2,0,1,0,0,53353.36,0
5587,15699446,Hobbs,816,Germany,Female,25,2,150355.35,2,1,1,35770.84,0
988,15613749,Lees,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1
6258,15617301,Chamberlin,774,Germany,Male,36,9,130809.77,1,1,0,152290.28,0
7489,15687765,Chukwujamuike,538,Germany,Female,42,4,80380.24,1,1,0,119216.46,0
2279,15582960,Short,,France,Female,33,5,125827.43,1,0,1,,0
5902,15712930,Duncan,587,France,Male,42,1,0,1,0,0,123006.91,0
3766,15730273,Parsons,841,France,Male,27,8,0,1,1,0,171922.72,0
362,15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
7759,15684358,Kang,711,France,Male,41,3,0,2,1,1,193747.57,0
1981,15775880,McElyea,554,France,Female,30,9,0,2,1,1,40320.3,0
3328,15659325,Todd,802,Spain,Male,40,5,0,2,1,1,175043.69,0
4900,15696852,Hsu,803,France,Female,32,9,192122.84,1,1,1,54277.45,1
2729,15770420,Dillon,749,Germany,Male,46,10,78136.36,2,1,1,73470.98,0
6211,15592197,Simmons,522,Spain,Male,150,3,0,2,1,0,145490.85,0
3822,15685245,Jowett,608,Spain,Female,56,5,0,2,0,1,153810.41,0
8696,15801994,Buccho,775,France,Male,31,9,0,2,1,0,169278.51,0
2982,15711218,Parry,616,Germany,Male,39,2,121704.32,2,1,0,55556.3,0
7187,15565996,Arnold,653,France,Male,44,8,0,2,1,1,154639.72,0
3451,15661936,Chikelu,513,France,Male,40,3,141004.46,1,1,0,105028.46,0
4181,15569438,Mai,607,Germany,Male,36,10,106702.94,2,0,0,198313.69,0
7056,15621546,Yuriev,620,France,Female,33,9,127638.35,1,1,1,192717.57,0
8758,15567383,Slone,678,Germany,Female,44,2,98009.13,2,0,1,31384.86,0
6109,15761076,Lei,507,France,Male,41,3,58820.32,2,1,1,138536.09,0
5249,15700366,Burton,669,France,Male,39,3,119452.03,1,1,1,171575.54,0
600,15714939,Fallaci,484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
9958,15672237,Oluchi,633,France,Male,25,1,0,1,1,0,,0
796,15686870,Ball,761,Germany,Male,36,8,108239.11,2,0,0,99444.02,0
7181,15632789,Maclean,794,France,Male,30,8,0,2,1,1,24113.91,0
9916,15813140,Taylor,543,Spain,Male,41,5,0,2,0,1,143980.29,0
8638,15632967,Feng,520,France,Male,34,3,0,2,1,1,104703.96,0
6810,15688868,Birdsall,684,France,Female,26,5,87098.91,1,0,0,106095.82,0
6221,15716926,Macleod,807,France,Male,33,10,101952.97,2,1,0,178153.65,0
8559,15774507,Furneaux,574,France,Female,39,5,119013.86,1,1,0,103421.91,0
363,15706365,Bianchi,648,France,Female,50,9,102535.57,1,1,1,189543.19,0
6748,15766172,Tsao,541,France,Male,34,3,128743.55,1,1,0,134851.12,0
3648,15624775,Onyeoruru,729,France,Male,67,2,94203.8,1,0,1,102391.06,0
6754,15568449,Fu,661,Spain,Male,38,7,143006.7,1,1,1,15650.89,0
9248,15650244,Bezrukov,6288,Spain,Male,29,7,80895.44,2,1,0,64945.57,0
1801,15794122,Otutodilinna,713,France,Female,59,3,0,2,1,1,62700.08,0
3075,15609653,Ifeatu,614,Germany,Female,44,6,118715.86,1,1,0,133591.11,1
6002,15606887,Singh,775,France,Female,30,5,0,1,1,0,193880.6,1
3511,15800814,Palerma,534,France,Male,35,2,81951.74,2,1,0,115668.53,0
5637,15626679,Linger,584,France,Male,33,3,0,2,0,1,59103.13,0
2642,15599301,Tao,538,Germany,Female,28,6,164365.44,1,0,1,5698.97,0
2619,15724834,Wilson,498,France,Female,30,1,0,2,0,0,135795.53,0
206,15773039,Ku,550,France,Male,37,3,0,1,1,1,179670.31,0
5581,15786249,Whitfield,616,Spain,Male,30,2,0,2,1,0,199099.51,0
3965,15714981,Sabbatini,476,France,Male,37,4,0,1,1,1,55775.84,1
4488,15614365,Lombardi,696,Germany,Male,31,3,150604.52,1,0,0,5566.6,0
9211,15792650,Watts,382,Spain,Male,36,0,0,1,1,1,179540.73,1
3119,15789432,Mazzanti,451,France,Male,33,6,0,2,1,0,184954.11,0
8955,15581626,Mancini,664,France,Male,54,8,0,1,1,1,162719.69,1
2211,15769917,Onyekachi,673,Germany,Female,34,1,127122.79,3,0,1,76703.1,0
8424,15706799,Macknight,719,Spain,Male,44,4,0,1,0,0,84972.9,1
4705,15754113,Li,588,France,Female,35,0,0,2,1,1,155485.24,0
1600,15719309,Stephens,670,France,Female,42,1,115961.58,2,0,1,29483.87,0
9595,15619898,Chiefo,785,France,Male,55,5,0,2,1,1,7008.65,0
2201,15641114,Power,701,France,Male,37,8,130091.5,1,1,1,120031.29,0
8094,15779267,Onyemere,584,France,Male,47,5,0,2,1,0,89286.29,0
9048,15738662,Daluchi,652,Germany,Male,41,9,159434.03,1,1,0,178373.93,0
7382,15573077,Nwora,620,Germany,Female,25,8,141825.88,1,1,1,73857.94,1
9860,15615430,Adams,678,Germany,Male,55,4,129646.91,1,1,1,184125.1,1
920,15733114,Hay,552,Spain,Male,45,9,0,2,1,0,26752.56,0
8500,15784918,Brown,498,Germany,Male,35,2,121968.11,2,0,1,188343.05,0
4790,15743828,Stevens,691,France,Male,41,2,0,1,1,1,56850.92,1
2122,15583576,Tai,671,France,Male,6,2,0,1,0,1,102057.86,0
7380,15607746,Belstead,573,France,Female,36,1,0,1,1,1,56905.38,0
7845,15667633,Allen,612,France,Female,38,1,0,2,1,1,9209.21,0
5328,15641490,Windsor,850,Germany,Female,25,8,69385.17,2,1,0,87834.24,0
8865,15599124,Miller,832,France,Female,29,5,0,2,1,0,178779.52,0
717,15677369,Golubov,554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0
625,15745307,Ch'iu,477,Spain,Female,48,2,129120.64,1,0,1,26475.79,0
7273,15666166,Pettry,653,France,Female,74,0,121276.32,1,1,1,160348.31,0
9264,15749669,Hargreaves,542,France,Female,31,3,0,2,1,1,115217.59,0
8640,15654891,He,811,France,Male,30,6,0,2,1,1,180591.32,0
3067,15789815,Fallaci,503,France,Female,28,5,0,2,1,0,125918.17,0
9374,15807457,Abernathy,641,Spain,Female,36,1,0,2,1,0,102021.39,0
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
8646,15669282,Uchechukwu,636,France,Female,20,10,124266.86,1,0,0,100566.81,0
1599,15647842,Cunningham,601,Germany,Female,48,8,120782.7,1,1,0,63940.68,1
2235,15713655,Calabrese,720,France,Female,38,10,0,2,1,1,56229.72,1
2843,15785782,Ugonna,513,Spain,Male,48,2,0,1,1,1,114709.13,1
9482,15613787,Chidubem,505,Spain,Male,35,8,116932.59,1,1,0,91092.84,0
6661,15765258,Bochsa,776,France,Female,,5,0,2,1,1,143301.49,0
7111,15681509,McKay,679,Spain,Female,28,9,0,2,0,1,61761.77,0
645,15698786,Marcelo,819,France,Female,39,9,133102.92,1,1,0,27046.46,1
7938,15775886,Su,670,France,Male,36,3,0,1,1,0,140754.19,1
505,15715527,Freeman,543,Spain,Female,41,4,0,1,0,0,194902.16,0
780,15769974,Shih,679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0
8328,15766787,Piazza,707,France,Female,35,9,0,2,1,1,70403.65,0
3738,15607577,Roberts,663,Spain,Male,27,8,0,1,1,1,188007.99,0
3398,15691624,Chidiebere,820,France,Male,33,2,132150.26,2,1,0,23067.97,0
1149,15616529,Hsieh,613,Spain,Male,34,3,0,1,1,1,41724.72,0
663,15667215,Chandler,678,France,Male,31,2,0,2,1,1,58803.28,0
8481,15597591,Lung,456,France,Male,29,5,107000.49,1,1,1,153419.62,0
3938,15610165,Hsiung,761,France,Female,26,1,0,2,1,1,199409.19,0
8463,15778481,Chigbogu,817,France,Male,59,1,118962.58,1,1,1,120819.58,0
7555,15569917,Obijiaku,706,Spain,Male,30,6,87609.68,2,0,0,137674.55,1
7774,15679818,Yuan,636,Germany,Male,67,7,136709.35,1,0,1,66753.1,1
